Receipt #,Word,POS,Tag
Receipt: 1,DIGI,MR,B-mer
,TELECOMMUNICATIONS,MR,I-mer
,SDN,MR,I-mer
,BHD,MR,I-mer
,(201283-M),NN,O
,LOT,NN,O
,LG,NN,O
,315,NN,O
,LEBUH,NN,O
,BANDAR,NN,O
,UTAMA-BANDAR,NN,O
,UTAMA,NN,O
,PETALING,NN,O
,JAYA,NN,O
,SELANGOR,NN,O
,TAX,NN,O
,INVOICE,NN,O
,GST,NN,O
,REG,NN,O
,NUMBER:,NN,O
,001211957248,NN,O
,13/10/2017,DT,B-date
,12:35,NN,O
,POS,NN,O
,LOGIN,NN,O
,ID:,NN,O
,DMGR34013,NN,O
,STORE,NN,O
,NAME:,NN,O
,DS001-BP009,NN,O
,OSCAR,NN,O
,COLOUR,NN,O
,LAB,NN,O
,&,NN,O
,TELECOMMUNICATION,NN,O
,SDN.,NN,O
,BHD.,NN,O
,(523847-W),NN,O
,BILL,NN,O
,PAYMENT,NN,O
,PAID,NN,O
,AMOUNT,NN,O
,234.40,AM,B-amt
,SUB,NN,O
,TOTAL,NN,O
,AMOUNT,NN,O
,234.40,NN,O
,TOTAL,NN,O
,AMOUNT,NN,O
,234.40,NN,O
,CREDIT,NN,O
,CARD,NN,O
,234.40,NN,O
,CREDIT,NN,O
,CARD,NN,O
,NO.:XXXX,NN,O
,XXXX,NN,O
,XXXX,NN,O
,6974,NN,O
,TOTAL,NN,O
,AMOUNT,NN,O
,COLLECTED,NN,O
,234.40,NN,O
,CUSTOMER,NN,O
,NAME:,NN,O
,LIM,NN,O
,RUEY,NN,O
,CHYI,NN,O
,MOBILE,NN,O
,NO.:,NN,O
,60143149319,NN,O
,ACCOUNT,NN,O
,NO.:,NN,O
,1000004587104,NN,O
,CUSTOMER,NN,O
,COPY,NN,O
,THANK,NN,O
,YOU,NN,O
,HAVE,NN,O
,A,NN,O
,NICE,NN,O
,DAY,NN,O
,34013001929120171013,NN,O
,,NN,O
Receipt: 2,GARDENIA,MR,B-mer
,BAKERIES,MR,I-mer
,(KL),MR,I-mer
,SDN,MR,I-mer
,BHD,MR,I-mer
,(139386,NN,O
,X),NN,O
,LOT,NN,O
,3,NN,O
,40300,NN,O
,SHAH,NN,O
,ALAM,NN,O
